match_id,inning,over,runs_scored,wickets,cumulative_score,batting_team,bowling_team
335982,1,0,3,0,3,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,1,18,0,21,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,2,6,0,27,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,3,23,0,50,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,4,10,0,60,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,5,1,1,61,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,6,7,0,68,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,7,5,0,73,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,8,4,0,77,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,9,10,0,87,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,10,15,0,102,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,11,10,0,112,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,12,12,1,124,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,13,6,0,130,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,14,24,0,154,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,15,4,0,158,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,16,14,0,172,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,17,7,1,179,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,18,21,0,200,Kolkata Knight Riders,Royal Challengers Bangalore
335982,1,19,22,0,222,Kolkata Knight Riders,Royal Challengers Bangalore
335982,2,0,4,0,4,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,1,5,1,9,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,2,3,1,12,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,3,4,0,16,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,4,8,1,24,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,5,2,1,26,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,6,7,0,33,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,7,5,1,38,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,8,5,2,43,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,9,8,0,51,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,10,5,0,56,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,11,3,1,59,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,12,11,0,70,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,13,7,1,77,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,14,4,0,81,Royal Challengers Bangalore,Kolkata Knight Riders
335982,2,15,1,1,82,Royal Challengers Bangalore,Kolkata Knight Riders
335983,1,0,5,0,5,Chennai Super Kings,Kings XI Punjab
335983,1,1,15,0,20,Chennai Super Kings,Kings XI Punjab
335983,1,2,7,1,27,Chennai Super Kings,Kings XI Punjab
335983,1,3,6,0,33,Chennai Super Kings,Kings XI Punjab
335983,1,4,9,0,42,Chennai Super Kings,Kings XI Punjab
335983,1,5,11,0,53,Chennai Super Kings,Kings XI Punjab
335983,1,6,9,1,62,Chennai Super Kings,Kings XI Punjab
335983,1,7,8,1,70,Chennai Super Kings,Kings XI Punjab
335983,1,8,13,0,83,Chennai Super Kings,Kings XI Punjab
335983,1,9,5,0,88,Chennai Super Kings,Kings XI Punjab
335983,1,10,19,0,107,Chennai Super Kings,Kings XI Punjab
335983,1,11,20,0,127,Chennai Super Kings,Kings XI Punjab
335983,1,12,6,1,133,Chennai Super Kings,Kings XI Punjab
335983,1,13,10,0,143,Chennai Super Kings,Kings XI Punjab
335983,1,14,18,0,161,Chennai Super Kings,Kings XI Punjab
335983,1,15,8,1,169,Chennai Super Kings,Kings XI Punjab
335983,1,16,14,0,183,Chennai Super Kings,Kings XI Punjab
335983,1,17,17,0,200,Chennai Super Kings,Kings XI Punjab
335983,1,18,15,0,215,Chennai Super Kings,Kings XI Punjab
335983,1,19,25,0,240,Chennai Super Kings,Kings XI Punjab
335983,2,0,9,0,9,Kings XI Punjab,Chennai Super Kings
335983,2,1,7,0,16,Kings XI Punjab,Chennai Super Kings
335983,2,2,11,0,27,Kings XI Punjab,Chennai Super Kings
335983,2,3,10,0,37,Kings XI Punjab,Chennai Super Kings
335983,2,4,10,0,47,Kings XI Punjab,Chennai Super Kings
335983,2,5,16,1,63,Kings XI Punjab,Chennai Super Kings
335983,2,6,6,0,69,Kings XI Punjab,Chennai Super Kings
335983,2,7,15,0,84,Kings XI Punjab,Chennai Super Kings
335983,2,8,13,0,97,Kings XI Punjab,Chennai Super Kings
335983,2,9,13,0,110,Kings XI Punjab,Chennai Super Kings
335983,2,10,5,1,115,Kings XI Punjab,Chennai Super Kings
335983,2,11,12,0,127,Kings XI Punjab,Chennai Super Kings
335983,2,12,14,0,141,Kings XI Punjab,Chennai Super Kings
335983,2,13,11,0,152,Kings XI Punjab,Chennai Super Kings
335983,2,14,13,1,165,Kings XI Punjab,Chennai Super Kings
335983,2,15,11,0,176,Kings XI Punjab,Chennai Super Kings
335983,2,16,10,0,186,Kings XI Punjab,Chennai Super Kings
335983,2,17,5,1,191,Kings XI Punjab,Chennai Super Kings
335983,2,18,7,0,198,Kings XI Punjab,Chennai Super Kings
335983,2,19,9,0,207,Kings XI Punjab,Chennai Super Kings
335984,1,0,7,0,7,Rajasthan Royals,Delhi Daredevils
335984,1,1,10,0,17,Rajasthan Royals,Delhi Daredevils
335984,1,2,0,1,17,Rajasthan Royals,Delhi Daredevils
335984,1,3,14,1,31,Rajasthan Royals,Delhi Daredevils
335984,1,4,6,0,37,Rajasthan Royals,Delhi Daredevils
335984,1,5,3,0,40,Rajasthan Royals,Delhi Daredevils
335984,1,6,4,1,44,Rajasthan Royals,Delhi Daredevils
335984,1,7,4,1,48,Rajasthan Royals,Delhi Daredevils
335984,1,8,3,0,51,Rajasthan Royals,Delhi Daredevils
335984,1,9,6,0,57,Rajasthan Royals,Delhi Daredevils
335984,1,10,2,1,59,Rajasthan Royals,Delhi Daredevils
335984,1,11,12,0,71,Rajasthan Royals,Delhi Daredevils
335984,1,12,9,1,80,Rajasthan Royals,Delhi Daredevils
335984,1,13,7,0,87,Rajasthan Royals,Delhi Daredevils
335984,1,14,9,1,96,Rajasthan Royals,Delhi Daredevils
335984,1,15,10,0,106,Rajasthan Royals,Delhi Daredevils
335984,1,16,4,0,110,Rajasthan Royals,Delhi Daredevils
335984,1,17,1,1,111,Rajasthan Royals,Delhi Daredevils
335984,1,18,10,0,121,Rajasthan Royals,Delhi Daredevils
335984,1,19,8,0,129,Rajasthan Royals,Delhi Daredevils
335984,2,0,8,0,8,Delhi Daredevils,Rajasthan Royals
335984,2,1,13,1,21,Delhi Daredevils,Rajasthan Royals
335984,2,2,5,0,26,Delhi Daredevils,Rajasthan Royals
335984,2,3,10,0,36,Delhi Daredevils,Rajasthan Royals
335984,2,4,12,0,48,Delhi Daredevils,Rajasthan Royals
335984,2,5,7,0,55,Delhi Daredevils,Rajasthan Royals
335984,2,6,4,0,59,Delhi Daredevils,Rajasthan Royals
335984,2,7,12,0,71,Delhi Daredevils,Rajasthan Royals
335984,2,8,7,0,78,Delhi Daredevils,Rajasthan Royals
335984,2,9,8,0,86,Delhi Daredevils,Rajasthan Royals
335984,2,10,9,0,95,Delhi Daredevils,Rajasthan Royals
335984,2,11,5,0,100,Delhi Daredevils,Rajasthan Royals
335984,2,12,11,0,111,Delhi Daredevils,Rajasthan Royals
335984,2,13,4,0,115,Delhi Daredevils,Rajasthan Royals
335984,2,14,13,0,128,Delhi Daredevils,Rajasthan Royals
335984,2,15,4,0,132,Delhi Daredevils,Rajasthan Royals
335985,1,0,8,0,8,Mumbai Indians,Royal Challengers Bangalore
335985,1,1,5,1,13,Mumbai Indians,Royal Challengers Bangalore
335985,1,2,6,0,19,Mumbai Indians,Royal Challengers Bangalore
